Date_entry,counts,cumulative_cases
2022-05-18,10.0,10.0
2022-05-19,9.0,19.0
2022-05-20,5.0,19.5
2022-05-21,1.0,20.0
2022-05-22,8.2,27.4
2022-05-23,15.4,34.8
2022-05-24,22.6,42.2
2022-05-25,29.8,49.6
2022-05-26,37.0,57.0
2022-05-27,32.0,58.166666666666664
2022-05-28,27.0,59.333333333333336
2022-05-29,22.0,60.5
2022-05-30,17.0,61.666666666666664
2022-05-31,12.0,62.833333333333336
2022-06-01,7.0,64.0
2022-06-02,4.0,64.5
2022-06-03,1.0,65.0
2022-06-04,16.0,81.0
2022-06-05,13.5,86.5
2022-06-06,11.0,92.0
2022-06-07,20.0,112.0
2022-06-08,2.0,114.0
2022-06-09,8.0,122.0
2022-06-10,3.0,125.0
2022-06-11,11.0,133.75
2022-06-12,19.0,142.5
2022-06-13,27.0,151.25
2022-06-14,35.0,160.0
2022-06-15,22.0,164.5
2022-06-16,9.0,169.0
2022-06-17,2.0,171.0
2022-06-18,8.333333333333332,178.0
2022-06-19,14.666666666666666,185.0
2022-06-20,21.0,192.0
2022-06-21,42.0,234.0
2022-06-22,27.5,240.5
2022-06-23,13.0,247.0
2022-06-24,13.0,260.0
2022-06-25,10.75,261.0
2022-06-26,8.5,262.0
2022-06-27,6.25,263.0
2022-06-28,4.0,264.0
2022-06-29,19.0,283.0
2022-06-30,11.0,294.0
2022-07-01,11.0,294.0
