Date_entry,counts
2022-05-18,4
2022-05-19,8
2022-05-20,11
2022-05-21,12
2022-05-22,14
2022-05-23,15
2022-05-24,18
2022-05-25,19
2022-05-26,22
2022-05-27,23
2022-05-28,24
2022-05-29,24
2022-05-30,24
2022-05-31,26
2022-06-01,26
2022-06-02,27
2022-06-03,28
2022-06-04,29
2022-06-05,29
2022-06-06,29
2022-06-07,29
2022-06-08,29
2022-06-09,30
2022-06-10,32
2022-06-11,32
2022-06-12,32
2022-06-13,33
2022-06-14,33
2022-06-15,34
2022-06-16,35
2022-06-17,35
2022-06-18,35
2022-06-19,35
2022-06-20,36
2022-06-21,36
2022-06-22,36
2022-06-23,36
2022-06-24,39
2022-06-25,39
2022-06-26,39
2022-06-27,39
2022-06-28,40
2022-06-29,40
2022-06-30,42
