,time_stamp,states
0,2022-06-10,15
1,2022-06-13,22
2,2022-06-14,22
3,2022-06-15,22
4,2022-06-16,22
5,2022-06-17,22
6,2022-06-21,22
7,2022-06-22,25
8,2022-06-23,25
9,2022-06-27,29
10,2022-06-28,29
11,2022-06-29,29
12,2022-06-30,29
13,2022-07-01,29
14,2022-07-05,36
15,2022-07-06,36
16,2022-07-07,37
17,2022-07-08,37
18,2022-07-11,37
19,2022-07-12,37
20,2022-07-13,45
21,2022-07-14,45
22,2022-07-15,45
23,2022-07-18,46
24,2022-07-19,46
25,2022-07-20,47
26,2022-07-22,47
27,2022-07-25,48
28,2022-07-26,49
29,2022-07-27,49
